%time,field.data
3578880000000,-0.024373114109
3578880000000,-0.0297813415527
3578920000000,-0.0337053537369
3578920000000,-0.0380492806435
3578960000000,-0.0421071648598
3578960000000,-0.0468328595161
3579000000000,-0.049691259861
3579000000000,-0.0533345937729
3579040000000,-0.0554350018501
3579040000000,-0.0589378476143
3579080000000,-0.0614861249924
3579080000000,-0.0653539896011
3579120000000,-0.0683758854866
3579120000000,-0.0692588686943
3579160000000,-0.07152146101
3579160000000,-0.0733861923218
3579200000000,-0.0761969089508
3579200000000,-0.0775251984596
3579240000000,-0.0790184736252
3579240000000,-0.0806241631508
3579280000000,-0.0813024044037
3579280000000,-0.0828852057457
3579320000000,-0.0839530229568
3579320000000,-0.0826950073242
3579360000000,-0.0838205218315
3579360000000,-0.0840001702309
3579400000000,-0.0826380252838
3579400000000,-0.0840554237366
3579440000000,-0.0831071138382
3579440000000,-0.0824853777885
3579480000000,-0.0817232131958
3579480000000,-0.0811435580254
3579480000000,-0.0816794633865
3579520000000,-0.0792482495308
3579520000000,-0.0789179801941
3579540000000,-0.0765776634216
3579560000000,-0.0758453011513
3579600000000,-0.0748079419136
3579600000000,-0.0717059373856
3579640000000,-0.0721485614777
3579640000000,-0.0700522065163
3579680000000,-0.0682634711266
3579680000000,-0.0684146881104
3579720000000,-0.0687807202339
3579720000000,-0.0656576156616
3579760000000,-0.0650677084923
3579760000000,-0.0637007951736
3579800000000,-0.061625123024
3579800000000,-0.0604523420334
3579840000000,-0.0598664283752
3579840000000,-0.0590656399727
3579880000000,-0.0567783117294
3579880000000,-0.0560724139214
3579930000000,-0.0534572601318
3579930000000,-0.0521892309189
3579970000000,-0.0502696633339
3579970000000,-0.048944413662
3580010000000,-0.0478330850601
3580010000000,-0.0463874936104
3580050000000,-0.0445073246956
3580050000000,-0.0427455306053
3580090000000,-0.0422731041908
3580090000000,-0.0412472486496
3580130000000,-0.0411256551743
3580130000000,-0.038679599762
3580170000000,-0.0393708944321
3580170000000,-0.0367081165314
3580220000000,-0.0350993275642
3580220000000,-0.0346623063087
3580260000000,-0.0332136750221
3580260000000,-0.0323865413666
3580300000000,-0.0312132835388
3580300000000,-0.0309920310974
3580340000000,-0.0290032625198
3580340000000,-0.0276364684105
3580380000000,-0.0259559750557
3580380000000,-0.0248085856438
3580420000000,-0.0239068865776
3580420000000,-0.0226539373398
3580460000000,-0.0213994383812
3580460000000,-0.0206739902496
3580500000000,-0.0184432864189
3580500000000,-0.0183241963387
3580540000000,-0.0184161663055
3580540000000,-0.0159791707993
3580580000000,-0.0150723457336
3580580000000,-0.0147403478622
3580620000000,-0.0136260986328
3580620000000,-0.012735247612
3580660000000,-0.0126110911369
3580660000000,-0.0105146765709
3580700000000,-0.0110524296761
3580700000000,-0.0104036331177
3580740000000,-0.00843769311905
3580740000000,-0.00914114713669
3580780000000,-0.00861203670502
3580780000000,-0.00746387243271
3580820000000,-0.00646644830704
